Vendor SKU,Vendor Price,CBUSA SKU,Product Name
2101006,11.11,19021,2 x 10 - 10' SYP # 2 Pressure Treated
2121206,19.34,19026,2 x 12 - 12' SYP # 2 Pressure Treated
5509896,0.06,19098,"7/16"" Plywood Clips (250/box)"
5509896,0.06,19357,"Simpson 1/2"" Plywood Clips (250/box)"
,3.65,19370,1 x 4 - 12' #3 SYP 
,0,19391,"1"" Plastic Cap Nails (Box)"
4810500,124.59,19401,Interwrap Titanium-UDL Underlayment 30 Yr - 10 sq roll
,0,19544,"5/16 x 8-1/4"" - 12' NichiBoard Lap Siding (Primed) - Cedar Textured"
7532800,0.98,19632,"2 x 2 - 42"" Bevel Pickett Pressure Treated"
5536100,6.89,19748,Simpson Double Face Mount Hanger - HU412
5508700,0.06,19911,"5/8"" Plywood Clips (250 Box)"
,9.75,21837,7/16 x 4 x 8 Radiant Barrier OSB
2083002,35,30083,2 x 8 - 30' #2 FJ SPF
5546500,4.35,50480,Simpson MIT416 Top Mount Joist Hanger
,0,52001,1 x 6 - 10' #2 SPF
,0,52002,1 x 6 - 16' #2 SPF
824434,2.59,52009,"5/8"" x 10"" Carriage Bolt (washer and nut included)"
,0,52014,5/16 x 7-1/4 - 12' HardiePlank Lap Siding - Select Cedarmill
,0,52065,1/4 x 12 - 12' Vented Nichiha Soffit Panel - Smooth
,0,52066,1/4 x 16 - 12' Non-Vented Nichiha Soffit Panel - Smooth
,0,52067,1/4 x 16 - 12' Vented Nichiha Soffit Panel - Smooth
1111111,12.1,53111,"4 x 9 Green Non-Structural Thermo-ply (.078"")"
114073,2.53,53250,"1/4"" T-50 Staples (box)"
,0,53360,1/4 x 16 - 12' Vented Nichiha Soffit Panel - Textured
,0,53361,1/4 x 16 - 12' Non-Vented Nichiha Soffit Panel - Textured
,0,53570,5/16 x 8-1/4 - 12' HardiePlank Lap Siding - Select Cedarmill - In ColorPlus Technology (in stock colors)- Verify w/Dealer
835171,0.62,53640,"1/2"" x 4"" Galvanized Hex Lag Screw"
1232400,4.98,54425,5/16 x 8-1/4 - 12' Cemplank Lap Siding - Cedar 
,23.76,54464,5/16 x 4 - 8' Plycem/Allura FiberTect Sealed Vertical Panel - Smooth
,0,54497,5/16 x 8-1/4 - 12' CertainTeed  ColorMax Prefinished Lap Siding - Textured
,12.68,54504,1/4 x 12 - 12' Vented CertainTeed FiberTect Soffit Panel - Cedar
,0,54505,1/4 x 16 - 12' Vented CertainTeed FiberTect Soffit Panel - Cedar
,0,54506,1/4 x 24 - 12' Vented CertainTeed FiberTect Soffit Panel - Cedar
8048000,15.69,54507,1/4 x 12 - 12' Vented Plycem/Allura FiberTect Soffit Panel - Smooth
8440800,18.24,54508,1/4 x 16 - 12' Vented Plycem/Allura FiberTect Soffit Panel - Smooth
,0,54509,1/4 x 24 - 12' Vented Plycem/Allura FiberTect Soffit Panel - Smooth
