CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
11313,2 x 10 - 16' #2 Pressure Treated
11316,2 x 10 - 8' #2 Pressure Treated
11317,2 x 12 - 10' #2 Pressure Treated
11318,2 x 12 - 14' #2 Pressure Treated
11319,2 x 12 - 16' #2 Pressure Treated
11323,2 x 12 - 8' #2 Pressure Treated
11328,2 x 4 - 14' #2 Pressure Treated
11329,2 x 4 - 16' #2 Pressure Treated
11333,2 x 6 - 10' #2 Pressure Treated
11334,2 x 6 - 12' #2 Pressure Treated
11336,2 x 6 - 14' #2 Pressure Treated
11337,2 x 6 - 16' #2 Pressure Treated
11340,2 x 6 - 8' #2 Pressure Treated
11341,2 x 8 - 10' #2 Pressure Treated
11342,2 x 8 - 12' #2 Pressure Treated
11343,2 x 8 - 14' #2 Pressure Treated
11344,2 x 8 - 16' #2 Pressure Treated
11347,2 x 8 - 8' #2 Pressure Treated
11348,4 x 4 - 10' #2 Pressure Treated
11349,4 x 4 - 12' #2 Pressure Treated
11353,4 x 4 - 8' #2 Pressure Treated
11354,4 x 6 - 10' #2 Pressure Treated
11355,4 x 6 - 12' #2 Pressure Treated
11357,4 x 6 - 16' #2 Pressure Treated
11360,4 x 6 - 8' #2 Pressure Treated
11372,5/4 x 6 - 10' #2 Pressure Treated
11375,5/4 x 6 - 16' #2 Pressure Treated
11377,6 x 6 - 10' #2 Pressure Treated
11383,6 x 6 - 8' #2 Pressure Treated
11402,"2 x 4 - 93"" Pre-Cut SPF"
11403,"2 x 4 - 105"" Pre-Cut SPF"
11404,"2 x 4 - 117"" Pre-Cut SPF"
11405,"2 x 6 - 93"" Pre-Cut SPF"
11406,"2 x 6 - 105"" Pre-Cut SPF"
11407,"2 x 6 - 117"" Pre-Cut SPF"
11520,1 x 6 R/L #2 Cypress S4S
11521,1 x 6 R/L #2 Cypress T&G S4S
11533,1 x 8 R/L Clear & Btr Doulgas Fir
11627,1 x 10 Clear White Pine
11628,1 x 12 Clear White Pine
11629,1 x 4 Clear White Pine
11630,1 x 6 Clear White Pine
11631,1 x 8 Clear White Pine
11659,1 x 4 - 16' Primed 4-Sides FJ
11708,1 x 10 R/L #2 Spruce
11711,1 x 12 R/L #2 Spruce
11716,1 x 4 R/L #2 Spruce
11719,1 x 6 R/L #2 Spruce
11722,1 x 8 R/L #2 Spruce
